pdes,name,H,diameter,albedo,rot_per,e,a,i,om,w,ma
1,Ceres,3.34,952.4,0.090,9.074170,.07582276595896797,2.76750591440571,10.59338616262872,80.32926547452543,72.52203270043788,95.98917578768719
2,Pallas,4.13,545,0.1587,7.8132,.2312736282433415,2.771606108489468,34.84099788068097,173.0962475866183,309.9303277309815,78.22870368538561
3,Juno,5.33,233.92,0.2383,7.210,.2554482627817375,2.670700240558908,12.98166179450518,169.8711811946533,248.4099652667037,33.07715332505229
4,Vesta,3.20,530,0.4228,5.342,.08874017002173754,2.361793227026224,7.140427316529066,103.8513672233257,151.1985275178533,20.86384148999364
5,Astraea,6.85,119.07,0.2268,16.800,.1911354885397671,2.573809011810247,5.368522808329815,141.5955606292344,358.9289818123848,260.1895420543225
6,Hebe,5.71,185.18,0.2679,7.2745,.2014490412595527,2.425351344821642,14.74816234156889,138.703621828055,239.4079299095493,29.21424207793233
7,Iris,5.51,199.83,0.2766,7.139,.2307944730618347,2.386659850431612,5.522701053639459,259.6207451128045,145.4612615006708,72.14864865091278
8,Flora,6.49,135.89,0.2426,12.865,.1563371368204265,2.201958126086721,5.887770938458249,110.9223267464854,285.4669109791923,71.83873388181296
9,Metis,6.28,190,0.118,5.079,.1222901370527257,2.386434727596202,5.574443848276522,68.94475275957753,5.868801785511717,209.6856520395155
10,Hygiea,5.43,407.12,0.0717,27.623,.1152780560463355,3.139436479197706,3.841064231498112,283.4211836370176,312.4581528371256,228.7037091720366
11,Parthenope,6.55,153.33,0.1803,13.7204,.1000254211165643,2.452500749721518,4.629854430206931,125.5671229102022,196.0176241145389,227.8370400388289
12,Victoria,7.24,112.77,0.1765,8.6599,.2212914886275448,2.333482268985859,8.368834974911911,235.4862949091481,69.53491493315686,51.14794527232738
13,Egeria,6.74,207.64,0.0825,7.045,.0837903622046085,2.577044531630504,16.5374772038482,43.25137475486958,80.14846980315265,166.7206425203071
14,Irene,6.30,152,0.159,15.028,.1660831630133495,2.586682877981738,9.118068792319473,86.16005468215587,98.00125052055843,145.5578773974441
15,Eunomia,5.28,255.33,0.2094,6.083,.1874594163786241,2.643914763022448,11.73888056430162,293.1871147204334,97.55418277946094,277.5295198859401
16,Psyche,5.90,253.16,0.1203,4.196,.1363528219578003,2.922785182369126,3.09894034095183,150.2744675548355,227.1228564369788,334.6557090617496
17,Thetis,7.76,90.04,0.1715,12.27048,.1324921353232636,2.471953101027249,5.590860807221307,125.5689909249817,135.8048291320671,257.7499781031341
